000001-06.04.2024 17:07:51-000000 
000002-06.04.2024 17:07:51-010101 
000003-06.04.2024 17:07:51-STRT A:
000004-06.04.2024 17:07:51-020202 A:
000005-06.04.2024 17:07:51-STRT A:B:
000006-06.04.2024 17:07:51-030303 A:B:
000007-06.04.2024 17:07:51-STOP A:
000008-06.04.2024 17:07:51-040404 A:
000009-06.04.2024 17:07:51-050505 A:
000010-06.04.2024 17:07:51-STRT A:C:
000011-06.04.2024 17:07:51-060606 A:C:
000012-06.04.2024 17:07:51-STRT A:C:D:
000013-06.04.2024 17:07:51-070707 A:C:D:
000014-06.04.2024 17:07:51-080808 A:C:D:
000015-06.04.2024 17:07:51-STOP A:C:
000016-06.04.2024 17:07:51-090909 A:C:
000017-06.04.2024 17:07:51-101010 A:C:
000018-06.04.2024 17:07:51-111111 A:C:
000019-06.04.2024 17:07:51-STOP A:
000020-06.04.2024 17:07:51-121212 A:
000021-06.04.2024 17:07:51-STRT A:E:
000022-06.04.2024 17:07:51-STRT A:E:F:
000023-06.04.2024 17:07:51-STOP A:E:
000024-06.04.2024 17:07:51-STOP A:
