000001-06.04.2024 17:19:18-INIT 
000002-06.04.2024 17:19:18-000000 
000003-06.04.2024 17:19:18-010101 
000004-06.04.2024 17:19:18-STRT A:
000005-06.04.2024 17:19:18-020202 A:
000006-06.04.2024 17:19:18-STRT A:B:
000007-06.04.2024 17:19:18-030303 A:B:
000008-06.04.2024 17:19:18-STOP A:
000009-06.04.2024 17:19:18-040404 A:
000010-06.04.2024 17:19:18-050505 A:
000011-06.04.2024 17:19:18-STRT A:C:
000012-06.04.2024 17:19:18-060606 A:C:
000013-06.04.2024 17:19:18-STRT A:C:D:
000014-06.04.2024 17:19:18-070707 A:C:D:
000015-06.04.2024 17:19:18-080808 A:C:D:
000016-06.04.2024 17:19:18-STOP A:C:
000017-06.04.2024 17:19:18-090909 A:C:
000018-06.04.2024 17:19:18-101010 A:C:
000019-06.04.2024 17:19:18-111111 A:C:
000020-06.04.2024 17:19:18-STOP A:
000021-06.04.2024 17:19:18-121212 A:
000022-06.04.2024 17:19:18-STRT A:E:
000023-06.04.2024 17:19:18-STRT A:E:F:
000024-06.04.2024 17:19:18-STOP A:E:
000025-06.04.2024 17:19:18-STOP A:
