000001-06.04.2024 17:24:48-INIT 
000002-06.04.2024 17:24:48-INFO000000 
000003-06.04.2024 17:24:48-INFO010101 
000004-06.04.2024 17:24:48-STRT A:
000005-06.04.2024 17:24:48-INFO020202 A:
000006-06.04.2024 17:24:48-STRT A:B:
000007-06.04.2024 17:24:48-INFO030303 A:B:
000008-06.04.2024 17:24:48-STOP A:
000009-06.04.2024 17:24:48-INFO040404 A:
000010-06.04.2024 17:24:48-INFO050505 A:
000011-06.04.2024 17:24:48-STRT A:C:
000012-06.04.2024 17:24:48-INFO060606 A:C:
000013-06.04.2024 17:24:48-STRT A:C:D:
000014-06.04.2024 17:24:48-INFO070707 A:C:D:
000015-06.04.2024 17:24:48-INFO080808 A:C:D:
000016-06.04.2024 17:24:48-STOP A:C:
000017-06.04.2024 17:24:48-INFO090909 A:C:
000018-06.04.2024 17:24:48-INFO101010 A:C:
000019-06.04.2024 17:24:48-INFO111111 A:C:
000020-06.04.2024 17:24:48-STOP A:
000021-06.04.2024 17:24:48-INFO121212 A:
000022-06.04.2024 17:24:48-STRT A:E:
000023-06.04.2024 17:24:48-STRT A:E:F:
000024-06.04.2024 17:24:48-STOP A:E:
000025-06.04.2024 17:24:48-STOP A:
